id,score,quality,advantage,disadvantage,suggestion,remark,created_at,updated_at,user_id,task_id
53,2,2,,ปรับปรุงลายมือ,,,2018-06-07 21:40:32.786351,2018-06-07 21:41:23.853466,33,16
19,3,,,,,,2018-05-25 04:56:14.666868,2018-05-25 04:56:14.666868,12,8
20,25,,,,,,2018-05-25 04:56:16.776968,2018-05-25 04:56:16.776968,12,9
21,12,,,,,,2018-05-25 04:56:51.501459,2018-05-25 04:56:51.501459,12,10
2,35,,,,,,2018-05-20 14:17:40.101193,2018-05-20 14:24:54.611731,4,2
5,5,,,,,,2018-05-21 16:33:09.279767,2018-05-21 16:33:09.279767,2,5
1,10,4,องค์ประกอบครบถ้วน,algorithm ผิด,อ่านหนังสือ ,คนนี้น่ารักมาก ทำงานดีมากจ้า ,2018-05-20 13:59:20.836438,2018-05-21 18:46:42.943436,4,1
22,ไม่ส่ง,,,,,,2018-05-25 04:57:02.545143,2018-05-25 04:57:02.545143,12,11
23,65,,,,,,2018-05-25 04:57:06.359499,2018-05-25 04:57:06.359499,12,12
43,2,,,,,,2018-05-25 05:04:01.267107,2018-06-11 09:02:26.491984,16,8
27,16,,,,,,2018-05-25 04:58:52.245945,2018-05-25 04:58:52.245945,13,10
3,70,,,,,,2018-05-20 14:20:09.112955,2018-05-21 18:57:08.418077,4,3
31,4,,,,,,2018-05-25 05:01:28.447333,2018-05-25 05:01:28.447333,14,8
32,40,,,,,,2018-05-25 05:01:31.342163,2018-05-25 05:01:31.342163,14,9
33,15,,,,,,2018-05-25 05:01:37.226899,2018-05-25 05:01:37.226899,14,10
34,75,,,,,,2018-05-25 05:01:49.822758,2018-05-25 05:01:54.151423,13,12
35,75,,,,,,2018-05-25 05:03:24.134571,2018-05-25 05:03:24.134571,14,12
37,3,,,,,,2018-05-25 05:03:38.045352,2018-05-25 05:03:38.045352,15,8
38,35,,,,,,2018-05-25 05:03:40.302085,2018-05-25 05:03:40.302085,15,9
8,48,,,,,,2018-05-21 19:14:49.97653,2018-05-21 19:14:53.174003,5,2
9,69,,,,,,2018-05-21 19:14:56.239634,2018-05-21 19:14:56.239634,5,3
39,14,,,,,,2018-05-25 05:03:42.88654,2018-05-25 05:03:42.88654,15,10
10,2,,,,,,2018-05-21 19:14:58.570161,2018-05-21 19:15:05.190555,5,4
40,ส่ง,,,,,,2018-05-25 05:03:46.413789,2018-05-25 05:03:46.413789,15,11
41,70,,,,,,2018-05-25 05:03:52.233307,2018-05-25 05:03:52.233307,15,12
44,30,,,,,,2018-05-25 05:04:03.937919,2018-05-25 05:04:03.937919,16,9
4,4,,,,,,2018-05-20 14:22:23.364356,2018-05-22 08:14:41.92261,4,4
45,12,,,,,,2018-05-25 05:04:07.5348,2018-05-25 05:04:07.5348,16,10
7,5,,,,,,2018-05-21 19:14:45.981307,2018-05-22 12:56:23.446898,5,1
6,10,4,เขียนสวย,สั้นไป,ศึกษาจากใบความรู้,,2018-05-21 18:55:57.888562,2018-05-22 12:58:08.431035,4,6
11,8,,,,,ดีมากลูก,2018-05-21 19:15:01.295211,2018-05-22 13:02:18.641229,5,6
47,69,,,,,,2018-05-25 05:04:19.25054,2018-05-25 05:04:19.25054,16,12
29,ไม่ส่ง,,,,,,2018-05-25 04:59:39.329792,2018-05-27 13:11:54.557486,14,11
30,8,3,มีความใส่ใจดี,การใช้คำไม่สอดคล้องกับบริบท,พัฒนาการใช้ภาษาของชาวต่างชาติได้จาก Link ของครู,,2018-05-25 05:01:26.334327,2018-05-25 05:08:40.514374,14,7
36,6,1,,ความถูกต้องของ Grammar ที่ใช้,ศึกษาผ่านเอกสารของครู,,2018-05-25 05:03:35.739508,2018-05-25 05:09:01.51758,15,7
18,6,2,,ความถูกต้องของ Grammar ที่ใช้,พัฒนาการใช้ภาษาของชาวต่างชาติได้จาก Link ของครู,,2018-05-25 04:56:13.221479,2018-05-25 05:07:45.452653,12,7
24,9,4,เป็นภาษาที่ใช้จริง,ควรแต่งประโยตให้ซับซ้อนขึ้น ,ศึกษาจาก Youtube ,,2018-05-25 04:58:39.360149,2018-07-04 03:39:06.448993,13,7
51,2,4,,,,,2018-06-07 21:37:44.075683,2018-06-07 21:37:49.404377,54,16
17,70,,,,,,2018-05-25 04:55:57.362406,2018-05-27 14:35:46.252308,11,12
16,18,,,,,,2018-05-25 04:55:47.985066,2018-05-27 15:39:16.432553,11,10
13,10,4,ถูกหลัก Grammar,ควรแต่งประโยตให้ซับซ้อนขึ้น ,ศึกษาผ่านเอกสารของครู,ยอดเยี่ยมมากๆเลย รักษาคุณภาพอย่างนี้ต่อไปนะ,2018-05-25 04:55:35.222918,2018-06-30 16:45:58.057092,11,7
12,ไม่ส่ง,,,,,,2018-05-25 04:52:45.85445,2018-05-28 03:19:10.370767,11,11
25,3,,,,,,2018-05-25 04:58:41.579397,2018-05-25 05:12:30.461442,13,8
54,2,3,,คำนวณหาคำตอบให้คำนึงถึงเลขนัยสำคัญ,,,2018-06-07 21:43:55.199907,2018-06-07 21:44:13.210981,31,16
52,2,4,แสดงวิธีทำอย่างเป็นขั้นตอน พร้อมระบุหน่วยเสมอ,,,,2018-06-07 21:39:24.78897,2018-06-07 21:39:52.836916,49,16
15,42,,,,,,2018-05-25 04:55:45.151255,2018-05-25 07:55:11.735396,11,9
14,4,,,,,,2018-05-25 04:55:41.561666,2018-05-25 07:55:14.741727,11,8
48,2,2,,คำนวณหาคำตอบให้คำนึงถึงเลขนัยสำคัญ,,,2018-06-07 21:31:52.596598,2018-06-07 21:32:50.934612,38,16
49,2,3,,ให้ระบุหน่วยของปริมาณที่คำนวณกำกับเสมอ,,,2018-06-07 21:33:51.14165,2018-06-07 21:34:16.41074,35,16
56,2,3,,ให้ระบุหน่วยของปริมาณที่คำนวณกำกับเสมอ,,,2018-06-07 21:46:26.336019,2018-06-07 21:46:47.793106,28,16
55,2,3,,คำนวณหาคำตอบให้คำนึงถึงเลขนัยสำคัญ,,,2018-06-07 21:45:35.752931,2018-06-07 21:45:47.359539,24,16
57,2,2,,ให้ระบุหน่วยของปริมาณที่คำนวณกำกับเสมอ,,,2018-06-07 21:47:12.914523,2018-06-07 21:47:40.115421,30,16
50,2,3,,"",,,2018-06-07 21:34:57.297371,2018-06-07 21:49:25.294291,22,16
58,2,3,,คำนวณหาคำตอบให้คำนึงถึงเลขนัยสำคัญ,,,2018-06-07 21:48:46.38608,2018-06-07 21:48:59.298968,41,16
59,2,4,คำนวณได้อย่างละเอียดรอบคอบ และถูกต้อง,,,,2018-06-07 21:50:13.548013,2018-06-07 21:50:34.706153,42,16
60,2,3,,,,,2018-06-07 21:51:06.014366,2018-06-07 21:51:06.811242,25,16
61,2,4,คำนวณได้อย่างละเอียดรอบคอบ และถูกต้อง,,,,2018-06-07 21:51:31.925515,2018-06-07 21:51:39.683225,40,16
62,2,3,,,,,2018-06-07 21:52:07.997221,2018-06-07 21:52:09.798057,32,16
26,45,,,,,,2018-05-25 04:58:48.686067,2018-07-02 05:59:51.494728,13,9
46,เสร็จ,,,,,,2018-05-25 05:04:11.367734,2018-06-11 09:17:45.882692,16,11
227,8,,,,,,2019-09-06 07:25:02.713714,2019-09-06 07:25:02.713714,336,134
63,2,4,แสดงวิธีทำอย่างเป็นขั้นตอน พร้อมระบุหน่วยเสมอ,คำนวณหาคำตอบให้คำนึงถึงเลขนัยสำคัญ,,,2018-06-07 21:53:07.967283,2018-06-07 21:54:10.239737,37,16
207,8,4,ออกแบบได้สวยงาม,ลายมือยังไม่สวย,พัฒนาลายมือให้สวยขึ้นและเขียนให้เป็นระเบียบ,พยายามอีกนิดนะคะ,2019-09-06 07:22:55.612392,2019-09-06 07:25:07.898276,341,130
67,2,3,,ให้ระบุหน่วยของปริมาณที่คำนวณกำกับเสมอ,,,2018-06-07 22:00:07.243905,2018-06-07 22:00:23.899693,46,16
193,8,3,เนื้อหาดี มีรายละเอียดครบถ้วน,ปรับปรุงลายมือให้ดีขึ้น,พัฒนาลายมือให้สวยขึ้น,พัฒนาต่อไปเรื่อยๆ,2019-09-06 07:22:40.747857,2019-09-06 07:25:11.681078,330,116
70,2,4,แสดงวิธีทำอย่างเป็นขั้นตอน พร้อมระบุหน่วยเสมอ,,,,2018-06-07 22:05:06.290033,2018-06-07 22:05:19.791935,21,16
187,8,4,ออกแบบได้สวยงาม,ลายมือยังไม่สวยขึ้น,ลายมือให้สวยขึ้น และเขียนให้เป็นระเบียบ,พยายาม,2019-09-06 07:22:32.370899,2019-09-06 07:25:18.020854,343,131
72,2,2,,แสดงวิธีการคำนวณให้ละเอียดมากขึ้น,,,2018-06-07 22:11:37.508883,2018-06-07 22:11:50.104682,55,16
